file_name,question_id,llm_response,ground_truth_answer
exp_output_k15_typesentences_size10.json,317,"The Architect agrees to indemnify, save and hold harmless, and defend at its expense, the Owner and others acting on its behalf from all claims, suits, actions, damages, fees, penalties, and liabilities, including attorney's fees, arising from the negligent or willful acts or omissions of the Architect or those for whom the Architect is responsible, related to bodily injury, sickness, disease, death, or damage to tangible property. These obligations survive completion or termination of the Agreement.",The Architect must defend and indemnify the Owner against claims related to copyright/patent infringement or disputes over ownership of the Drawings.
exp_output_k15_typesentences_size10.json,188,"The City of Alexander City reserves the right to reject any or all proposals during the evaluation process, to waive any informality in the proposal process, and to award the contract to the proposal deemed to be in the best interest of the City. Additionally, the City can reject any or all bids and waive technicalities when it serves the best interest of the City.","The City reserves the right to reject any or all proposals, waive technicalities, and award the contract based on its determination of the City's best interest."
exp_output_k15_typesentences_size10.json,327,The Architect must review the proposed language of certificates submitted by the Owner at least fourteen days before the requested execution and is not required to execute any certificates that extend beyond the terms of the Agreement or impose additional liabilities.,The Architect is not required to execute certificates that exceed the scope of the Agreement or impose additional liabilities.
exp_output_k15_typesentences_size10.json,183,"The County requires the Contractor to enforce drug-free workplace policies, including notifying employees of prohibited actions and consequences. If the Contractor violates these policies, the County may terminate the agreement for default, covering only costs up to termination, with termination costs borne by the Contractor.","The Contractor must post workplace notices prohibiting drug-related activities and include compliance terms in solicitations. If breached, the County may issue a ""Show Cause Notice"" under termination provisions, allowing 10 days to cure the failure. Persistent non-compliance may lead to contract termination for default, with costs borne by the Contractor."
exp_output_k15_typesentences_size10.json,143,Insufficient information to answer question based on given context.,"Subcontractors must be identified in the proposal. After contract signing, Incourage Community Foundation reserves the right to approve all subcontractors not approved during the RFP process."
exp_output_k15_typesentences_size10.json,196,Insufficient information to answer question based on given context,"Yes, bidders must specify the non-local source and cost of concrete materials."
exp_output_k15_typesentences_size10.json,66,"The ""Basic Services of Engineer"" scope includes Professional Engineering Services related to potable water and sanitary sewer systems, incorporating civil, electrical, environmental, mechanical, and structural engineering services; surveying and architectural services; and additional incidental services. It also involves Professional Environmental Engineering Services for closed sanitary landfill facilities and other solid waste management facilities, encompassing similar engineering disciplines along with groundwater and landfill gas extraction systems and flare monitoring and maintenance, and related environmental and engineering services.","Services include civil, electrical, environmental, mechanical, and structural engineering; surveying; architectural services; groundwater monitoring; landfill gas extraction system maintenance; and environmental compliance."
exp_output_k15_typesentences_size10.json,187,"To arrange a site survey for the Alexander City Recycling Center Construction Project, a potential bidder must conduct surveys by appointment and contact Drew Meacham, the City Engineer & Public Works Director, to schedule a date and time.","Bidders must contact Drew Meacham, City Engineer & Public Works Director, via email to schedule an appointment."
exp_output_k15_typesentences_size10.json,197,Insufficient information to answer question based on given context,"Any materials purchased from vendors within Alexander City Limits or Police Jurisdiction must be listed, including vendor names and approximate dollar amounts."
exp_output_k15_typesentences_size10.json,174,"The County retains the flexibility to perform work in-house or separately bid and award large projects on a competitive selection basis. They reserve the right to award contracts to more than one qualified offeror, with work assignments made on an ""as needed"" basis, ensuring there's no assurance for any successful offeror to receive work assignments.","The County reserves the right to award contracts to multiple firms, perform work in-house, or bid large projects separately. (Background) states the contract is ""non-exclusive"" and allows for multi-award, while (Selection Procedure) confirms negotiations occur with ranked firms until terms are met."
exp_output_k15_typesentences_size10.json,142,"Proposers must provide a detailed summary of their current workload and future commitments over the proposed timeline, assuming a two-week turnaround from the submission of the proposal to the commencement of services. They should submit the expected duration in days for each phase of the project and state the current and anticipated work assignments for each individual.","Proposers must submit a detailed summary of current workload and future commitments over the proposed timeline, assuming a two-week turnaround from proposal submission to service commencement. They must also provide the expected duration in days for each project phase."
exp_output_k15_typesentences_size10.json,84,"For subcontracts or purchase orders exceeding $10,000 under this contract, the Contractor must include the provisions related to a drug-free workplace, nondiscrimination, and interest payments on late payments to subcontractors. These provisions are binding upon each subcontractor or vendor.","Subcontracts or purchase orders over $10,000 must include nondiscrimination and drug-free workplace clauses binding on subcontractors/vendors."
exp_output_k15_typesentences_size10.json,191,"The required bond amount for bid security is equal to 5% of the bid price, but no more than $10,000. No bid security is required on bids less than $10,000.","A Bid Security equal to 5% of the bid price (not exceeding $10,000) is required, except for bids under $10,000."
exp_output_k15_typesentences_size10.json,297,The Architect has the authority to reject Work that does not conform to the Contract Documents and must notify the Construction Manager about the rejection.,The Architect has the authority to reject Work that does not conform to the Contract Documents and must notify the Construction Manager about the rejection.
exp_output_k15_typesentences_size10.json,136,The Construction Manager must hold a Construction Manager's license (or applicable license) valid for the State of Wisconsin.,The Construction Manager must hold a Construction Manager's license (or applicable license) valid for the State of Wisconsin.
exp_output_k15_typesentences_size10.json,338,Insufficient information to answer question based on given context,"Public buildings include enclosed structures occupied by state/local government agencies, educational institutions, healthcare facilities, fire/police stations, childcare centers, hospitals, schools, and school buses."
exp_output_k15_typesentences_size10.json,139,"The Construction Phase officially starts upon the execution of the Guaranteed Maximum Price Amendment or when the Owner issues a Notice to Proceed, whichever occurs earlier.","The Construction Phase begins upon the execution of the Guaranteed Maximum Price Amendment or the Owner's issuance of a Notice to Proceed, whichever occurs earlier."
exp_output_k15_typesentences_size10.json,189,"The minimum bid security required for proposals exceeding $10,000 is 5% of the bid price, but not more than $10,000.","Bidders must provide bid security equal to 5% of the bid price, capped at $10,000, in the form of a bid bond or cashier's check."
exp_output_k15_typesentences_size10.json,140,"Changes to the Work are authorized by the Architect issuing changes in writing, and all change orders must be signed and acknowledged by both the Owner and the Construction Manager.","The Architect issues changes in writing, and all change orders must be signed and acknowledged by the Owner and Construction Manager."
exp_output_k15_typesentences_size10.json,137,"The Construction Manager is responsible for advising the Owner and the Architect on proposed site use and improvements, selection of materials, building systems, and equipment during the Preconstruction Phase.","The Construction Manager must advise the Owner and Architect on site use, material selection, building systems, constructability, labor/material availability, procurement timelines, cost factors, and accelerated scheduling."
exp_output_k15_typesentences_size10.json,64,"The duration of the contract for Engineering Services under this RFP is three (3) years, with the option to extend the contract for two (2) additional one (1) year periods.","The contract is for three (3) years, with an option to extend for two additional one-year periods, cancelable by the County on sixty (60) days' notice."
exp_output_k15_typesentences_size10.json,177,"Federal compliance requirements are integrated into the final design deliverables by ensuring that all construction plans, specifications, contract documents, and related materials meet federal regulations, in addition to state and local standards. These requirements are part of the contractor documents prepared during the final design phase and include elements like bid forms, bonding, insurance requirements, and adherence to federal laws applicable to the project. This thorough integration ensures that all necessary approvals are obtained from relevant governmental agencies.","Final design documents must include federal compliance elements such as bonding, insurance, and drug-free workplace adherence. (1.3.A) requires ""federal compliance requirements"" in contractor documents, while (2.F) obligates compliance with the federal Drug-Free Workplace Act."
exp_output_k15_typesentences_size10.json,76,The Engineer shall furnish a set of as-built project plans (recording drawings) as reflected by the inspection reports and field notes prepared on blackline mylar film from information furnished by the project inspector at no additional cost to the County.,The Engineer must provide as-built plans on blackline mylar film based on inspection reports and field notes at no cost to the County.
exp_output_k15_typesentences_size10.json,195,"If a bidder intends to purchase siding from a local vendor, they must indicate 'yes' to the question and provide the name of the vendor to be used.",The bidder must name the vendor and provide the cost of materials.
exp_output_k15_typesentences_size10.json,141,The Construction Manager is entitled to an equitable adjustment in the Contract Time as a result of changes in the Work.,The Construction Manager is entitled to an equitable adjustment in the Contract Time due to changes in the Work.
exp_output_k15_typesentences_size10.json,92,"If a contractor defaults under the termination for default clause, the County may procure the required articles or services from other sources and hold the defaulting contractor responsible for any resulting additional purchase and administrative costs. If these costs increase due to the repurchase, the contractor will be required to pay for the additional costs and will be removed from future bidding until the repayment has occurred. However, contractors are not liable for excess costs if the failure to perform arises from unavoidable causes not attributed to their fault or negligence.",The County may procure goods/services from other sources and hold the contractor liable for additional costs. The contractor may also be barred from future bidding until repayment occurs.
exp_output_k15_typesentences_size10.json,285,The Architect's policy of insurance must contain prior acts coverage sufficient to cover all services performed by the Architect for the Project.,The policy must include prior acts coverage sufficient to cover all services performed by the Architect for the project.
exp_output_k15_typesentences_size10.json,198,"Yes, a detailed cost estimate is still required outside of the locally purchased material list.","Yes, a detailed cost estimate is mandatory separately from the locally purchased materials list."
exp_output_k15_typesentences_size10.json,71,The Engineer is required to furnish a set of as-built project plans (record drawings) on blackline mylar film and provide the County with digitized plans in a specified format once the project is completed.,The Engineer must submit digitized plans in a format specified by the County.
exp_output_k15_typesentences_size10.json,144,"The fee structure required for the Construction Phase is the amount or basis for compensation in addition to the cost listed in the Estimate of Probable Cost (Exhibit B), which includes the Guaranteed Maximum Price Proposal and the quoted fees in the proposal, subject to change orders mutually agreed upon by the Proposer and the Owner.","For the Construction Phase, proposers must provide the amount or basis for compensation **in addition** to the costs in the Estimate of Probable Cost (Exhibit B). The Guaranteed Maximum Price Proposal and quoted fees are binding, subject to mutually agreed change orders."
exp_output_k15_typesentences_size10.json,148,Insufficient information to answer question based on given context.,"Chelsey Mazurek serves as the Tribune Building Project Manager, responsible for handling compliance inquiries and documentation."
exp_output_k15_typesentences_size10.json,267,"The A/E must apply/utilize standards found in the Leadership in Energy & Environmental Design (LEED) Green Building Rating System, Declare, Cradle to Cradle, or other nationally recognized sustainability program/certification.","The A/E must use LEED, Declare, Cradle to Cradle, or other nationally recognized sustainability programs."
exp_output_k15_typesentences_size10.json,172,"Engineering firms must comply with federal, state, and local laws and regulations applicable to the performance of services. This includes adhering to the Civil Rights Act of 1964, the Virginia Fair Employment Contracting Act of 1975, the Virginia Human Rights Act, and not employing illegal alien workers, among others. Compliance with the Immigration Reform and Control Act of 1986 and full compliance with the Virginia Conflict of Interest Act is also required.","Firms must comply with all federal, state, and local laws, ordinances, and regulations, including environmental and procurement laws. (Section 1.1) requires adherence to ""regulations, laws, ordinances, and requirements of all governmental agencies,"" while (Exhibit A, Section 2.C) mandates conformity with the Civil Rights Act, Virginia Fair Employment Contracting Act, and Immigration Reform and Control Act."
exp_output_k15_typesentences_size10.json,276,Insufficient information to answer question based on given context,"The Owner's budget must include the total Cost of the Work and, if known, a line item breakdown."
exp_output_k15_typesentences_size10.json,147,The Incourage Community Foundation is responsible for overseeing compliance for the Tribune Building project.,Incourage Community Foundation Inc. is the overseeing organization for compliance matters.
exp_output_k15_typesentences_size10.json,176,"Subcontractor agreements must include the provisions of ensuring a drug-free workplace and nondiscrimination clauses in contracts over $10,000. Additionally, general contract obligations require compliance with federal, state, and local laws, including the Virginia Public Procurement Act, and adherence to specific nondiscrimination and payment conditions.","Subcontractors must meet non-discrimination and drug-free workplace requirements. During bidding (Excerpt 1, 1.4.B), the Engineer must evaluate subcontractor acceptability. (Section 2.B.1) mandates that subcontracts over $10,000 include clauses prohibiting discrimination and requiring drug-free workplaces."
exp_output_k15_typesentences_size10.json,194,The Project Manager has the authority to require the removal of a subcontractor.,The Project Manager may require the removal of a subcontractor.
exp_output_k15_typesentences_size10.json,104,"An out-of-state business entity that does not regularly and continuously maintain as part of its ordinary and customary business any employees, agents, offices, facilities, or inventories in Virginia.","The entity must not regularly maintain employees, offices, or facilities in Virginia, excluding incidental presence for assembly/repair or solicitation of orders requiring out-of-state acceptance."
exp_output_k15_typesentences_size10.json,98,The certification provided by signing the Proposal Signature Sheet confirms that the proposal complies with all requirements specified in the Request for Proposal and that the Offeror did not partake in any collusion or violate the Sherman Act in preparing and submitting the proposal.,The signature certifies compliance with the RFP requirements and confirms no collusion or antitrust violations occurred during proposal preparation.
exp_output_k15_typesentences_size10.json,97,"If the Contractor disagrees with the County's decision on a claim, they must promptly notify the County in writing that they are proceeding with the work under protest. If the dispute remains unresolved, the Contractor must specifically exempt the claim from payment requests, and they have the right to appeal the decision by initiating legal action in the appropriate circuit court within six months of the County's final decision on the claim.",The Contractor must notify the County in writing that they are proceeding with the work under protest.
exp_output_k15_typesentences_size10.json,185,"Non-compliance with subcontractor payment obligations under the contract is enforced by requiring the contractor to pay subcontractors their share within seven days of receiving payment from the County, notify the County and subcontractor of any intended withholding, and include these provisions in subcontractor agreements above $10,000. Compliance with antitrust laws is ensured by the contractor certifying that the bid is fair, competitive, free from collusion, and made without any kickbacks.","Contractors must pay subcontractors within seven days of receiving County payments or provide written justification for withholding (Section 12). Subcontracts must include these terms. The Proposal Signature Sheet (Section 2) certifies compliance with the Sherman Act and Virginia antitrust laws, prohibiting collusion in bidding."
exp_output_k15_typesentences_size10.json,93,"The County can terminate the contract for default if the Contractor fails to deliver the required equipment or services, fails to respond to maintenance or service requests within the specified time limits, or breaches any other contract provisions and fails to cure the issues after receiving a ""Show Cause Notice"" and being given ten days to remedy the failure. If the Contractor does not respond or correct the deficiencies, the County may immediately terminate the agreement.","The County may terminate the contract for default if the Contractor fails to deliver equipment/services, repeatedly fails to respond to maintenance requests, or breaches other terms after a ""Show Cause Notice."""
exp_output_k15_typesentences_size10.json,274,Six (6) copies of the proposal are required for submission.,Six (6) copies of the proposal are requested.
exp_output_k15_typesentences_size10.json,321,"Under section 8.1.2, the Owner and Architect waive all rights against each other and against contractors, consultants, agents, and employees of the other for damages covered by property insurance, except for rights to the proceeds of such insurance as outlined in the modified AIA Document A232-2009.","The Owner and Architect waive all rights against each other and against contractors, consultants, agents, and employees for damages covered by property insurance, except rights to insurance proceeds."
exp_output_k15_typesentences_size10.json,172,"Engineering firms must comply with federal, state, and local regulations and standards, including the Civil Rights Act of 1964, the Virginia Fair Employment Contracting Act of 1975, the Virginia Human Rights Act, and the Immigration Reform and Control Act of 1986. They must also adhere to all applicable laws pertaining to performance, design criteria, and environmental impact. Additionally, firms must certify that they do not engage in discriminatory employment practices and that they are equal opportunity employers.","Firms must comply with all federal, state, and local laws, ordinances, and regulations, including environmental and procurement laws. (Section 1.1) requires adherence to ""regulations, laws, ordinances, and requirements of all governmental agencies,"" while (Exhibit A, Section 2.C) mandates conformity with the Civil Rights Act, Virginia Fair Employment Contracting Act, and Immigration Reform and Control Act."
exp_output_k15_typesentences_size10.json,190,"The structural requirements for the recycling center's main building include a 40 x 60 enclosed blue metal building with a 20 x 60 lean-to structure, 6x6 timber posts with in-ground protectors spaced at 12’ on center, steel trusses, 29-gauge metal for the roof and sides, two 10’ wide x 12’ tall drum roll-up doors, two pedestrian access doors, one exterior window, insulation, a framed and finished interior office,",The main building requires a 40x60 enclosed blue metal structure with a 20x60 lean-to.
exp_output_k15_typesentences_size10.json,192,"The deadline for project completion is September 30th, 2025.","The project must be completed by September 30th, 2025."
exp_output_k15_typesentences_size10.json,340,"Compensation for Basic Services under § 11.5 is based on a stipulated sum, with compensation for each phase of services determined as a percentage, although the specific percentages are not detailed in the given context.",Compensation for Basic Services is based on a stipulated sum allocated across defined project phases.
exp_output_k15_typesentences_size10.json,182,"Past performance evaluations provide insights into the contractor's ability to meet contractual obligations effectively. These evaluations are relevant to termination for default clauses because poor past performance may indicate a likelihood of future contract breaches, triggering termination clauses. The contract context specifies that if a contractor fails to deliver services or correct deficiencies after receiving notice, the County may terminate for default, emphasizing the importance of reliable past performance.","Past performance (Excerpt 1, Section 5) is evaluated for quality, timeliness, and budget adherence, which directly impacts the County's right to terminate for default (Excerpt 2, Section 16) if contractors fail to meet obligations."
exp_output_k15_typesentences_size10.json,36,"The contractor must provide the following materials for the Computer Software Product (CDRL A037) to build the source code: (1) build scripts, (2) build environment details, (3) patch installer creation instructions, (4) build logs, (5) build tools with associated configurations, and (6) integrated development environment (IDE) details associated with loading, reading, modifying, and building source code documents.","The Contractor shall provide all materials necessary to build the source code into an executable and functioning application, including build scripts, build environment details, patch installer creation instructions, build logs, build tools with configurations, and integrated development environment (IDE) details."
exp_output_k15_typesentences_size10.json,227,"The introduction of proprietary data, code, or products into the Government-owned AFATDS baseline is strictly prohibited, with the exception of free and open source software (FOSS).","Proprietary data, code, or products are strictly prohibited in the AFATDS baseline, except for free and open-source software (FOSS)."
exp_output_k15_typesentences_size10.json,3,Contractor employees with security clearances must complete annual Threat Awareness and Reporting Program (TARP) training.,"Annual Threat Awareness and Reporting Program (TARP) training is required, with certifications submitted to the COR."
exp_output_k15_typesentences_size10.json,256,"To ensure genuine ICT in the solution, processes and practices must be employed to confirm that genuine ICT is used, and requirements for genuine ICT must be levied upon subcontractors.",Processes must verify genuine ICT and enforce requirements on subcontractors.
exp_output_k15_typesentences_size10.json,252,"Electronic Industries Alliance (EIA)-649-1, Configuration Management Requirements for Defense Contracts, 20 November 2014.",EIA-649-1 establishes Configuration Management requirements.
exp_output_k15_typesentences_size10.json,135,The Contracting Officer’s Representative must receive an email notification for Block 14 submissions.,The Contracting Officer’s Representative must receive an email notification.
exp_output_k15_typesentences_size10.json,379,An existing facility security clearance of at least U.S. SECRET from the Defense Security Service is required for access to the AFATDS software baseline.,Contractors must have a U.S. SECRET facility clearance from the Defense Security Service.
exp_output_k15_typesentences_size10.json,262,Distribution D: Distribution is authorized to DoD agencies and U.S. DoD contractors only. Unclassified information is export-controlled and subject to the provisions of DoD Directive 5230.25.,"Unclassified data is export-controlled and subject to DoD Directive 5230.25, with distribution limited to DoD agencies and U.S. DoD contractors."
exp_output_k15_typesentences_size10.json,120,Subcontractors must use the DoD-approved XML format for IPMR submissions.,Subcontractors must use the DoD-approved XML format.
exp_output_k15_typesentences_size10.json,19,The contractor must conduct a review for evidence of compromise of covered defense information and rapidly report the cyber incident to the DoD within 72 hours of discovery. They must also include this clause in subcontracts for operationally critical support to ensure subcontractors report directly to the DoD and the prime contractor.,"The contractor must conduct a review for compromised data, systems, and user accounts, and rapidly report the incident to DoD via the specified portal."
exp_output_k15_typesentences_size10.json,208,The Contractor must resubmit the modified Interface Control Document for Government review and approval.,"The Contractor must resubmit the revised document for Government review and approval. The Government will provide comments within 30 calendar days of receipt, and the final version is due back within 30 days after receiving comments."
exp_output_k15_typesentences_size10.json,125,The Contractor's delivery timeline after contract award for Blocks 10-13 is 30 calendar days.,The Contractor shall deliver 90 calendar days after award of contract. The Contractor shall deliver 30 calendar days prior to contract expiration.
exp_output_k15_typesentences_size10.json,383,Insufficient information to answer question based on given context.,The subtasks are Integration Management Control Planning (Subtask 1) and Task Order Management (Subtask 2).
exp_output_k15_typesentences_size10.json,115,"The contractor forfeits the flat fee bonus for Gates 1–3 if they do not successively pass Gates 1, 2, and 3 by delivering engineering releases 3, 6, and 9 with no Priority 1 or 2 errors.","The contractor forfeits the flat fee bonus if they do not successively pass Gates 1, 2, and 3. This does not affect their eligibility for the Final Gate fee."
exp_output_k15_typesentences_size10.json,23,"Contractors must conduct activities involving electronic communications and data in accordance with applicable laws and regulations on the interception, monitoring, access, use, and disclosure of such communications and data.","Contractors must comply with applicable laws and regulations on interception, monitoring, access, use, and disclosure of electronic communications and data."
exp_output_k15_typesentences_size10.json,238,"Subtask 3 requires AFATDS 7.0 to maximize the use of common services from the COE environment, allowing developers to focus on developing fires capabilities and integration tasks associated with accessing external services.",It mandates reliance on COE common services to streamline development efforts toward fires capabilities and integration.
exp_output_k15_typesentences_size10.json,260,Applicable Assured Compliance Assessment Solution (ACAS) templates and Security Content Automation Protocols (SCAP) checklists must be included in the documentation per Block 4.,The documentation must include applicable Assured Compliance Assessment Solution (ACAS) templates and Security Content Automation Protocols (SCAP) checklists.
exp_output_k15_typesentences_size10.json,371,"The Test for Record (TFR) must include the controlled execution of Government-approved system-level test cases, regression threads, a stability test, and testing of security and safety requirements.","The TFR must include Government-approved system-level test cases, regression threads, stability tests, and security/safety requirements testing, observed by the Government for compliance."
exp_output_k15_typesentences_size10.json,131,The final version of Blocks 10-13 must be delivered in conjunction with the software Final Release.,The final version must be delivered in conjunction with software Final Release.
exp_output_k15_typesentences_size10.json,56,Unrealistically low or high proposed costs may lead to the elimination of a proposal from competition on the grounds that the offeror either does not understand the requirement or has submitted an unrealistic proposal.,"Unrealistically low or high proposed costs may result in elimination from competition, as they indicate the offeror may not understand requirements or has submitted an unrealistic proposal. Unbalanced costs may also lead to rejection."
exp_output_k15_typesentences_size10.json,368,The Contractor's System Safety Program Plan (SSPP) must include the tasks to be performed to fulfill the level of rigor activities and system and software safety analysis per MIL-STD-882E and the Joint Software System Safety Engineering handbook.,The SSPP must include tasks to fulfill system and software safety analysis per MIL-STD-882E and the Joint Software System Safety Engineering Handbook.
exp_output_k15_typesentences_size10.json,204,Final submissions for PM MC must be posted to DI2E and IDE with email notification to the Contracting Officer’s Representative as per Block 14.,Submissions must be posted to DI2E and IDE with email notification to the Contracting Officer’s Representative.
exp_output_k15_typesentences_size10.json,255,"Access by foreign nationals to program information must be controlled through processes that protect system design information, DoD-unique technology, and software or hardware used to integrate commercial technology.","Processes must control access to system design information, DoD-unique technology, and integration tools for commercial technology."
exp_output_k15_typesentences_size10.json,22,"Contractor attributional/proprietary information obtained by DoD can be used or released for authorized purposes, such as assisting entities affected by cyber incidents, aiding in diagnosis, detection, or mitigation of cyber incidents, supporting government counterintelligence or law enforcement investigations, national security purposes, or to support services contractors directly supporting government activities, subject to statutory, regulatory, and policy-based restrictions.","The information may be used and released outside DoD for purposes authorized by paragraph (i) of the clause and for any lawful Government purpose, subject to statutory, regulatory, and policy restrictions."
exp_output_k15_typesentences_size10.json,220,The development of Interactive Electronic Technical Manuals (IETMs) is governed by the standards MIL-STD-40051-1B and MIL-STD-40051-2B.,The Contractor must develop IETMs in Portable Document Format (PDF) IAW MIL-STD-40051-2B and ensure all products comply with MIL-STD-40051-1B.
exp_output_k15_typesentences_size10.json,51,"Part A - Summary of Relevant Past Performance Contracts, Part B - Subcontractor/Teaming Partner Consent Letters, Part C - Client Authorization Letters.","The Past Performance volume must be organized into Part A (Summary of Relevant Past Performance Contracts), Part B (Subcontractor/Teaming Partner Consent Letters), and Part C (Client Authorization Letters)."
exp_output_k15_typesentences_size10.json,6,"The contracting officer (KO), contracting officer's representative (COR), and/or designated representative are authorized to access contractor records and facilities during service performance.","The Contractor shall permit the contracting officer (KO), contracting officer's representative (COR), and/or designated representatives access at any reasonable time to all records, data, and facilities used in performance of the contemplated services."
exp_output_k15_typesentences_size10.json,225,"The primary objective of CLIN 0001 under this contract is to modernize the existing AFATDS software baseline to provide a modernized backend AFATDS architecture, incorporate Common Services provided by the Common Operating Environment v3, implement role duty-based functionality, and provide embedded computer-based training, in alignment with AFATDS v7.0 Statement of Objectives and other specified requirements.","CLIN 0001 requires modernizing the AFATDS software baseline to align with AFATDS v7.0 requirements, including backend architecture updates, Common Services integration, role-based functionality, and embedded training."
exp_output_k15_typesentences_size10.json,160,"Option periods are evaluated by adding the total price for all options to the total price for the base period. Offerors must submit pricing for the base period and all option periods, including a six-month extension period. The total evaluated price consists of the proposed price for the base period, all option periods, and the six-month extension. Option prices should not be unbalanced. Evaluation of options does not obligate the Government to exercise them.","Option pricing, including a six-month extension under FAR 52.217-8, is added to the base period price for evaluation."
exp_output_k15_typesentences_size10.json,14,"An Organizational Conflict of Interest (OCI) under the contract is defined as a situation where, due to other activities or relationships, a person or company is unable or potentially unable to render impartial assistance or advice to the Government, their objectivity in performing the contract work is impaired, or they have an unfair competitive advantage.","An organizational conflict of interest occurs when a contractor’s other activities or relationships impair their ability to provide impartial advice, create an unfair competitive advantage, or compromise objectivity."
exp_output_k15_typesentences_size10.json,223,The Government shall review and provide comments within 30 calendar days of receipt of the document.,The Government must review and provide comments within 45 calendar days of receiving the document.
exp_output_k15_typesentences_size10.json,381,Contractors are required to comply with the destruction requirements as documented in their Access Compliance Certification no later than 10 calendar days after contract award.,"Contractors must destroy AFATDS source code, technical documentation, and derivative products no later than 10 calendar days after contract award."
exp_output_k15_typesentences_size10.json,222,"The Contractor must submit 30%, 60%, 90%, and 100% Draft and 100% Final versions of all technical publications for Government review. Additionally, they must incorporate and resubmit comments at 30%, 70%, 100% Draft and 100% Final. The Contractor is to support follow-on LOGSA authentication efforts after the final technical publications are submitted.","The Contractor must submit 30%, 60%, 90%, and 100% Final drafts for Government review and propose interim draft acceptance criteria for each cycle."
exp_output_k15_typesentences_size10.json,11,"Document submissions in WAWF may be via Web entry, Electronic Data Interchange, or File Transfer Protocol.","Documents may be submitted via Web entry, Electronic Data Interchange (EDI), or File Transfer Protocol (FTP)."
exp_output_k15_typesentences_size10.json,154,Subcontractors/teaming partners must include signed consent letters in their proposals to allow the Government to discuss their past and present performance information with the prime contractor during the source selection process.,Completed consent letters authorizing the government to share their performance information with the prime contractor.
exp_output_k15_typesentences_size10.json,217,"If changes occur to the Quality Assurance Program Plan (QAPP) after Government approval, the Contractor must resubmit the QAPP for Government review and approval.",The Contractor must resubmit the QAPP for Government review and approval if changes are made post-approval.
exp_output_k15_typesentences_size10.json,105,The maximum total extension period allowed under the Option to Extend Services clause is 6 months.,The total extension of performance under the Option to Extend Services clause shall not exceed 6 months.
exp_output_k15_typesentences_size10.json,229,Insufficient information to answer question based on given context,The period of performance is 26 months.
